id,genre,duration_s,reference_text,reference_cleaned
sports_48_first_12min_40.658_49.822,sports,9.164,أعزائي الشباب أهلا بيكم وحلقة جديدة وحلم جديد من إحلم معانا حنعيش النهارده في حلمنا مع مجموعة من الشباب متميز جدا في رياضة يمكن جديدة علينا,اعزائي الشباب اهلا بيكم وحلقه جديده وحلم جديد من احلم معانا حنعيش النهارده في حلمنا مع مجموعه من الشباب متميز جدا في رياضه يمكن جديده علينا
sports_48_first_12min_49.822_55.542,sports,5.72,لكن تميزت في الفترة الأخيرة هي رياضة السباحة بالزعانف تابعونا النهارده في حلم جديد وإحلم معانا,لكن تميزت في الفتره الاخيره هي رياضه السباحه بالزعانف تابعونا النهارده في حلم جديد واحلم معانا
sports_48_first_12min_59.607_65.984,sports,6.377,أنواع كتيرة من الغوص ورياضات كتيرة مائية حنتعرف عليها من خلال لقائنا النهارده مع فرح ومروان,انواع كتيره من الغوص ورياضات كتيره مائيه حنتعرف عليها من خلال لقائنا النهارده مع فرح ومروان
sports_48_first_12min_65.984_72.012,sports,6.028,أ# هما مبدعين بقى في رياضتهم هي رياضة السباحة بالزعانف وهي تندرج تحت الغوص,ا هما مبدعين بقي في رياضتهم هي رياضه السباحه بالزعانف وهي تندرج تحت الغوص
sports_48_first_12min_72.012_78.884,sports,6.872,حنتعرف عليهم أكتر ونشوف أحلامهم وأمانيهم من خلال برنامجنا إحلم معانا إزيك يا فرح ... الحمد لله تمام ... إزيك يا مروان ... تمام الحمد لله,حنتعرف عليهم اكتر ونشوف احلامهم وامانيهم من خلال برنامجنا احلم معانا ازيك يا فرح الحمد لله تمام ازيك يا مروان تمام الحمد لله
sports_48_first_12min_83.606_90.531,sports,6.925,أ# السباحة بالزعانف اللي هي المونو أنا عارف إن إنتم مونو و# حنتعرف عليها أكتر بقى من خلال لقائنا,ا السباحه بالزعانف اللي هي المونو انا عارف ان انتم مونو و حنتعرف عليها اكتر بقي من خلال لقائنا
sports_48_first_12min_90.531_98.485,sports,7.954,أ# قولي لي بداياتك معاها كانت جات إزاي وإيه اللي خلاكي تختاري الرياضة دي بالذات ... أ# هو أنا كنت بلعب سباحة بدأت سباحة عادية من وأنا عندي تلت سنين,ا قولي لي بداياتك معاها كانت جات ازاي وايه اللي خلاكي تختاري الرياضه دي بالذات ا هو انا كنت بلعب سباحه بدات سباحه عاديه من وانا عندي تلت سنين
sports_48_first_12min_98.485_106.123,sports,7.638,وبعد كده بقى إيه الموضوع تطور بعد كده بقيت أشتغل بدأت سباحة بالزعانف في حوالي سن إحداشر سنة,وبعد كده بقي ايه الموضوع تطور بعد كده بقيت اشتغل بدات سباحه بالزعانف في حوالي سن احداشر سنه
comedy_09_first_12min_4.754_12.352,comedy,7.598,سلامات عليكم حكلمكو النهارده عن ال (uncertainty),سلامات عليكم حكلمكو النهارده عن ال uncertainty
comedy_09_first_12min_12.352_19.989,comedy,7.637,الأول في معضلة لغوية كده عايز أخلص منها الأول ال (uncertainty) مختلف عن الشك يعني زي ما تقولوا كده,الاول في معضله لغويه كده عايز اخلص منها الاول ال uncertainty مختلف عن الشك يعني زي ما تقولوا كده
