id,genre,duration_s,latency_ms,exceeded_6s,wer,status,ref_clean,heard_clean,ref_raw,heard_raw
sports_48_first_12min_40.658_49.822,sports,9.164,7928,True,0.19230769230769232,completed,اعزائي الشباب اهلا بيكم وحلقه جديده وحلم جديد من احلم معانا حنعيش النهارده في حلمنا مع مجموعه من الشباب متميز جدا في رياضه يمكن جديده علينا,عزيزي الشباب اهلا بكم وحلقه جديده وحلم جديد من احلم معانا هنعيش النهارده في حلمنا مع مجموعه من الشباب متميز جدا فريضه يمكن جديده علينا,أعزائي الشباب أهلا بيكم وحلقة جديدة وحلم جديد من إحلم معانا حنعيش النهارده في حلمنا مع مجموعة من الشباب متميز جدا في رياضة يمكن جديدة علينا,عزيزي الشباب أهلا بكم وحلقة جديدة وحلم جديد من أحلم معانا هنعيش النهاردة في حلمنا مع مجموعة من الشباب متميز جدا فريضة يمكن جديدة علينا
sports_48_first_12min_49.822_55.542,sports,5.72,4920,False,0.1875,completed,لكن تميزت في الفتره الاخيره هي رياضه السباحه بالزعانف تابعونا النهارده في حلم جديد واحلم معانا,لكن تميزت في الفتره الاخيره هي رياضه استباحه بالزعائف تبعونا النهارده في حلم جديد واحلم معانا,لكن تميزت في الفترة الأخيرة هي رياضة السباحة بالزعانف تابعونا النهارده في حلم جديد وإحلم معانا,لكن تميزت في الفترة الأخيرة هي رياضة استباحة بالزعائف تبعونا النهاردة في حلم جديد واحلم معانا
sports_48_first_12min_59.607_65.984,sports,6.377,2421,False,0.25,completed,انواع كتيره من الغوص ورياضات كتيره مائيه حنتعرف عليها من خلال لقائنا النهارده مع فرح ومروان,انواع كثيره من الغوص ورياضات كثيره مائيه سنتعرف عليها من خلال لقاءنا النهارده مع فرح ومروان,أنواع كتيرة من الغوص ورياضات كتيرة مائية حنتعرف عليها من خلال لقائنا النهارده مع فرح ومروان,أنواع كثيرة من الغوص ورياضات كثيرة مائية سنتعرف عليها من خلال لقاءنا النهاردة مع فرح ومروان
sports_48_first_12min_65.984_72.012,sports,6.028,3179,False,0.14285714285714285,completed,ا هما مبدعين بقي في رياضتهم هي رياضه السباحه بالزعانف وهي تندرج تحت الغوص,هم مبدعين بقي في رياضتهم هي رياضه السباحه بالزعانف وهي تندرج تحت الغوص,أ# هما مبدعين بقى في رياضتهم هي رياضة السباحة بالزعانف وهي تندرج تحت الغوص,هم مبدعين بقى في رياضتهم هي رياضة السباحة بالزعانف وهي تندرج تحت الغوص
sports_48_first_12min_72.012_78.884,sports,6.872,4751,False,0.4782608695652174,completed,حنتعرف عليهم اكتر ونشوف احلامهم وامانيهم من خلال برنامجنا احلم معانا ازيك يا فرح الحمد لله تمام ازيك يا مروان تمام الحمد لله,ستعرف عليهم اكثر ونري احلامهم وامانيهم من خلال برنامجنا احلي معا كيف حالك الحمد لله تمام كيف حالك تمام الحمد لله,حنتعرف عليهم أكتر ونشوف أحلامهم وأمانيهم من خلال برنامجنا إحلم معانا إزيك يا فرح ... الحمد لله تمام ... إزيك يا مروان ... تمام الحمد لله,ستعرف عليهم أكثر ونرى أحلامهم وأمانيهم من خلال برنامجنا أحلى معاً كيف حالك؟ الحمد لله تمام كيف حالك؟ تمام الحمد لله
sports_48_first_12min_83.606_90.531,sports,6.925,4076,False,0.2631578947368421,completed,ا السباحه بالزعانف اللي هي المونو انا عارف ان انتم مونو و حنتعرف عليها اكتر بقي من خلال لقائنا,سبح بالزعينف اللي هي المونو انا عارف ان انتم مونو هنعترف عليها اكتر بقي من خلال لقائنا,أ# السباحة بالزعانف اللي هي المونو أنا عارف إن إنتم مونو و# حنتعرف عليها أكتر بقى من خلال لقائنا,سبح بالزعينف اللي هي المونو أنا عارف أن أنتم مونو هنعترف عليها أكتر بقى من خلال لقائنا.
sports_48_first_12min_90.531_98.485,sports,7.954,3441,False,0.3448275862068966,completed,ا قولي لي بداياتك معاها كانت جات ازاي وايه اللي خلاكي تختاري الرياضه دي بالذات ا هو انا كنت بلعب سباحه بدات سباحه عاديه من وانا عندي تلت سنين,قليلي بداياتك معاها كانت جات ازاي وايه اللي خليك تختار الرياضه دي بالذات هو انا كنت بلع بسباحه بدات اسباحه عاديه من وانا عندي ثلاث سنين,أ# قولي لي بداياتك معاها كانت جات إزاي وإيه اللي خلاكي تختاري الرياضة دي بالذات ... أ# هو أنا كنت بلعب سباحة بدأت سباحة عادية من وأنا عندي تلت سنين,قليلي بداياتك معاها كانت جات ازاي وإيه اللي خليك تختار الرياضة دي بالذات؟ هو أنا كنت بلع بسباحة بدأت أسباحة عادية من وانا عندي ثلاث سنين
sports_48_first_12min_98.485_106.123,sports,7.638,3308,False,0.3888888888888889,completed,وبعد كده بقي ايه الموضوع تطور بعد كده بقيت اشتغل بدات سباحه بالزعانف في حوالي سن احداشر سنه,وبعد كده بقي الموضوع تطور بعد كده بقيت اشتغل بدات تسبحها بالزعينب فحوالي سنه 11 سنه,وبعد كده بقى إيه الموضوع تطور بعد كده بقيت أشتغل بدأت سباحة بالزعانف في حوالي سن إحداشر سنة,وبعد كده بقى الموضوع تطور بعد كده بقيت اشتغل بدأت تسبحها بالزعينب فحوالي سنة 11 سنة
comedy_09_first_12min_4.754_12.352,comedy,7.598,2554,False,0.2857142857142857,completed,سلامات عليكم حكلمكو النهارده عن ال uncertainty,السلام عليكم اكلمكم النهارده عن ال uncertainty,سلامات عليكم حكلمكو النهارده عن ال (uncertainty),السلام عليكم أكلمكم النهاردة عن ال uncertainty.
comedy_09_first_12min_12.352_19.989,comedy,7.637,3305,False,0.47368421052631576,completed,الاول في معضله لغويه كده عايز اخلص منها الاول ال uncertainty مختلف عن الشك يعني زي ما تقولوا كده,الاول فيه معدله لغوايه كده عايز اخلص منها لو لان سيرت انتي مختلف عن الشك يا زي ما تقوله كده,الأول في معضلة لغوية كده عايز أخلص منها الأول ال (uncertainty) مختلف عن الشك يعني زي ما تقولوا كده,الأول فيه معدلة لغواية كده عايز أخلص منها لو لأن سيرت انتي مختلف عن الشك يا زي ما تقوله كده
comedy_09_first_12min_19.989_28.455,comedy,8.466,3484,False,0.3333333333333333,completed,لو حد بص علي ال الترجمه بتاعتها في القاموس حيلاقي عدم اليقين بس ده ترجمه مش دقيقه برضه هو يقين ناقص,لو حد بس علي الترجمه بتاعتك في كموس هيلقي عدم اليقين بس ده ترجمه مش دقيقه بره هو يقين نقص,لو حد بص على ال# الترجمة بتاعتها في القاموس حيلاقي عدم اليقين بس ده ترجمة مش دقيقة برضه هو يقين ناقص,لو حد بس على الترجمة بتاعتك في كموس هيلقي عدم اليقين بس ده ترجمة مش دقيقة بره هو يقين نقص
comedy_09_first_12min_28.455_37.159,comedy,8.704,3376,False,0.34615384615384615,completed,واول ملحوظه عايزين نلاحظها علي الحكايه دي ان ما حدش بيبقي عارف اليقين ده ناقص قد ايه اليقين التاكد يعني الواحد يبقي متاكد ميه في الميه,واما الحوزه عايزين نلاحظها الحكايه دي ان محتاج بعارف اليقين ده نقص قد ايه اليقين التاكد يعني واحد يبقي متاكد ميه في الميه,وأول ملحوظة عايزين نلاحظها على الحكاية دي إن ما حدش بيبقى عارف اليقين ده ناقص قد إيه اليقين التأكد يعني الواحد يبقى متأكد مية في المية,وأما الحوزة عايزين نلاحظها الحكاية دي إن محتاج بعارف اليقين ده نقص قد إيه اليقين التأكد يعني واحد يبقى متأكد مية في المية.
comedy_09_first_12min_37.159_46.420,comedy,9.261,3618,False,0.11764705882352941,completed,الناقص ممكن يبقي واحد ممكن يبقي عشره ممكن يبقي تلاتين سبعين تسعه وتسعين بيفضل برضه اسمه uncertainty,الناقص ممكن يبقي واحد ممكن يبقي عشره ممكن يبقي ثلاثين سبعين تسعه وتسعين بيفضل برضو اسمه uncertainty,الناقص ممكن يبقى واحد ممكن يبقى عشرة ممكن يبقى تلاتين سبعين تسعة وتسعين بيفضل برضه إسمه (uncertainty),الناقص ممكن يبقى واحد ممكن يبقى عشرة ممكن يبقى ثلاثين سبعين تسعة وتسعين بيفضل برضو اسمه uncertainty.
comedy_09_first_12min_46.420_53.657,comedy,7.237,3166,False,0.4,completed,كويس ده واحد الاسئله اللي في الدنيا عندها شغلتين اساسيتين,كويس دواح الاسئله في الدنيا عندها شغلتين اساسياتيه,كويس ده واحد الأسئلة اللي في الدنيا عندها شغلتين أساسيتين,كويس دواح الأسئلة في الدنيا عندها شغلتين أساسياتية
moviesDrama_68_first_12min_76.085_84.717,moviesDrama,8.632,3345,False,0.1,completed,الامر المؤكد اذا ان الخيال مهما انطلق بعيدا عن الواقع,الامر المؤكد اذن ان الخيال مهما انطلق بعيدا عن الواقع,الأمر المؤكد إذا أن الخيال مهما انطلق بعيدا عن الواقع,الأمر المؤكد إذن أن الخيال مهما انطلق بعيدا عن الواقع
moviesDrama_68_first_12min_84.717_91.758,moviesDrama,7.041,2610,False,0.09090909090909091,completed,فهو لا يعدو كونه سلوكا وكل سلوك علي ضوء الحتميه السيكولوجيه,فهو لا يعد كونه سلوكا وكل سلوك علي ضوء الحتميه السيكولوجيه,فهو لا يعدو كونه سلوكا وكل سلوك على ضوء الحتمية السيكولوجية,فهو لا يعد كونه سلوكا وكل سلوك على ضوء الحتمية السيكولوجية
moviesDrama_68_first_12min_91.758_99.586,moviesDrama,7.828,3357,False,0.09090909090909091,completed,لابد وان يكون له دلاله ومعني يسبق ذلك في الاضطرابات الذهنيه,لابد وان يكون له دلاله ومعني يصدق ذلك في الاضطرابات الذهنيه,لابد وأن يكون له دلالة ومعنى، يسبق ذلك في# الاضطرابات الذهنية,لابد وأن يكون له دلالة ومعنى يصدق ذلك في الاضطرابات الذهنية
moviesDrama_68_first_12min_99.586_107.511,moviesDrama,7.925,2750,False,0.45454545454545453,completed,ك الشيزوفرانيا والبارا نويا والميلانكوليا كما يسبق ايضا علي الامراض العصبيه,كالشيزوفرانيا والبرانويا والميلانكوليا كما يصدق ايضا علي الامراض العصبيه,ك الشيزوفرانيا والبارا نويا والميلانكوليا كما يسبق أيضا على الأمراض العصبية,كالشيزوفرانيا والبرانويا والميلانكوليا كما يصدق ايضا على الامراض العصبية
moviesDrama_68_first_12min_107.511_117.478,moviesDrama,9.967,2673,False,0.5714285714285714,completed,استني وريني مش معقول كده يا هاني وريني في حاجه انا ايوه انت اقف,كانوا يوريني اسمعوا كده احنا يوريني في حاجه انا ايوه انت واف,استني وريني ... مش معقول كده يا هاني ... وريني ... في حاجة؟ ... أنا؟ ... أيوه أنت أقف,كانوا يوريني، اسمعوا كده إحنا يوريني في حاجة؟ أنا؟ أيوة أنت واف.
moviesDrama_68_first_12min_117.478_126.638,moviesDrama,9.16,3207,False,0.5714285714285714,completed,عامل دوشه ليه من الصبح بنقل منها,عمل دوش ليه من الصبح بانقل منه,عامل دوشة ليه من الصبح؟ ... بنقل منها,عمل دوش ليه من الصبح؟ بانقل منه.
